tx_id,sender,receiver,amount,amount_percent,block,time,sender_created_block,receiver_created_block,day,hour,count,receiver_amount,amount_difference
IFEDZJGG6LJ5YRRVV3RWPNPQWHDQWMETIHVKDHJAA6NPY3K3T3OA,BYNU3FMZU7KONYI2AQG3HYWWSGSN6RSGNGPRID7I3XMNL3LYSSRD5I6QE4,P4MJO6F4UVHJJB67AXBLGD6LAL2XZ7ARQQAMDRKPHPHPRCOGOA636SQZSE,30.69164,99.67,27447633,1678101683,27447611,27447633,03/06/2023,03/06/2023 12 CEST,1,30.69064,0.0010000000000012221
42G5YTD3C72XE6XY4N5U3J4ZXFVSYLUJJ4RCGOREXE7DUPYNHUNA,M5YSNYLZS2ZOIET5MT7CEK7RPRZU2SHZP4E5NADXC4URZC4ZL474DIHXWM,DW6H23EITWQMQS5NDBZEPYRYKQUUHZI4BEGLDVTZVIS5SUH42DHMMNYDVA,1533.4673,99.99,27448820,1678106013,25415069,27448820,03/06/2023,03/06/2023 13 CEST,1,1533.4673,0.0
SNMUVWG2VRRMM4ZQR7FDWZIBX3PWFR2KDLNR63W73ZXQJWQSABGQ,VAANOUVXQDO4646RQ2BEMVHDJZ6OWCFAHQO5VC6YKJP6NP7CDAQXB4OO6Y,V7DZ476V7NRDMYAO3YG2BXQNIYKZ5YLSDUZ62GB6MRIBE74KTMRH57WBIM,167.751742,99.94,27450150,1678110907,22835883,27450150,03/06/2023,03/06/2023 14 CEST,1,167.751742,0.0
ZSRICXIU35LGCQBOP2WYUA5SQ3I6LGZEV2QG4CE6BAYKXLMLJSUQ,ICYPMSYWMBRKE4QAIFMJ57PIIJPRRV6LASTE55XMVBZZ5WOTTWO5VPRCRM,MFL37I5LDRT223XP5EIXDQ46MOD3ATOO7DVZLO4HUFGOFQ6IXWQ5OMKB3E,71967.0,100.0,27450411,1678111860,25507212,27450411,03/06/2023,03/06/2023 15 CEST,1,71967.0,0.0
EPMT6CRBFKGMKLIYMXHFUGG7PRHM6ZYRPVEUWL6EHFMAEBGB6ZUQ,3JTFU4RVLPEJOTQMGSKDTN55C4DU3K5DMEXY7VYMPQY3PLKGID7VYU44YE,E3FKCG6SJQHKPUG7MK5TVNHSI6CVID6RVBV42X4SL3LCAJABEVS4FGYSB4,1477.592,99.99,27450703,1678112924,21176166,27450703,03/06/2023,03/06/2023 15 CEST,1,1477.592,0.0
V7AOOTLWNY46X46UNOVWTYHKEKLY2N2AJSOYKPZYEW5BV47LOSNA,SEK7XBLOEJBXI4U5VWDAFKGOLZGGQEEIELFVCMSCKUR5SUAFB3QYC5SEW4,FP43MGEOXE2BGO7EAOR3IVADVAV6NYOKX6DA6CYTDX33VGG3DS62I4LWDY,1412.041472,99.99,27450811,1678113317,27120219,27450811,03/06/2023,03/06/2023 15 CEST,1,1412.041472,0.0
VQXXGFIVX7V4GR5X2CC6Y7OAVULPGXUKB245AU7O4T7V3USX7BHA,NEIYRIJMSPJMZVMPAU5JBRWRXMGJLMF73GUNFMAD6MLAS5QHFY4QE2D2TM,DK6U4MI4AVF4JQEITCHUD6Y2LMSRB3UEBH6ZV5X6PBSSEF34LNV2UD2QYM,223.383115,99.97,27450961,1678113862,19595718,27450961,03/06/2023,03/06/2023 15 CEST,1,223.383115,0.0
IYY5JL7EEBUADHWNRDEWXWEWBP26Y3PVZYGKVZNWASPYAB4SANNA,YO3JI6Z4B6ALOZKCSK3TDV2R4BVVFA5JEHS52ZPLI7N2ATKJBG7VAHTIMY,45OAYAT3SLDRINHO7VLTXQWDHLJM7VYLBPVNYN2GITRJRNAIAI2QLSBFAE,1211.9437,99.99,27452214,1678118404,12926528,27452214,03/06/2023,03/06/2023 17 CEST,1,1211.9437,0.0
L4EWVCGIQKMF7KS3NLWJH4W2SNSQ3VF3ATCKDRIZNCJQC65LNDPA,PQXFZIJHTUZBMD52OF44Y2YXLC7P7FAXMQOVLFPQZAUJDBEMVIFVLTGATI,SSHB64JIRPVV2KLKFFOZQ5GXGIOVCEZF6EUZF3QFCJOV3WWAVX7JEAC4BM,1394553.130594,100.0,27452264,1678118586,16196064,27452264,03/06/2023,03/06/2023 17 CEST,1,1394553.130594,0.0
JQLNIH2IGKMEH7GOVQE7XCU3VYRIEJ44G7PU2LML4MPAZSDN72YQ,ZBOPX2PZX4RFVRVR6KGDOVV37R6ZXI6EC7NDJZQDLW53ZYJ7RLATC6EI7Y,FSY6A3KEXQYAUGCMX7CJ46U7R36XVHAAVIEHVE63GL33QA5XM2SOIDFPQE,4987.199074,99.98,27452506,1678119470,21332789,27452506,03/06/2023,03/06/2023 17 CEST,1,4987.199074,0.0
24V5U45T74HTJFKOLF7XPLIS5CR3BVFFCDO4MGZVJC63CFP6JOWQ,KUZVKSDDCSI63N6IZWVGGB7QUJV26G7MDB44OKPB4ZI5P4RTDBAC4R2DKA,ULYWADGUOFB2TUZREPEG3K7LW2XU6F63A26RXYIQXHENAQOX6FWOWOWALM,290.0,99.52,27452560,1678119667,24517810,27452560,03/06/2023,03/06/2023 17 CEST,1,290.0,0.0
PR5ZAL6WATWDPSXDEUMLZLZYED2I27THL5VW5VS7VN4WFHRKBW4A,423JCH7BQT5TSKP43JMKUFG3UARUX7T6RMYZBP4YZXO3TORHWRBGE44RIM,DUQQZLXL37MLBYQS7JU7MTJKW4GEA325U6OYC7OH6O6FHNUX6OSRNIQ7XQ,1431.54905,99.99,27453016,1678121326,25916126,27453016,03/06/2023,03/06/2023 17 CEST,1,1431.54905,0.0
CBSKMDXFY7RTF5SMVRJPRVWYORUVIV26R45XXIOW2Y65BF7J3KXQ,GSDQFAUIIQLSRQCOYFESLWP5JVO2JY6WA65FLIENQVDK6CLSEKCEJ3NM2A,3CNLL7ZSLOGJZCQ4R6ZKZ73NGRFMLQ3SJCRKSENW6HTHFO7VQLBKWJYDGA,1601.880633,99.99,27453093,1678121606,15422096,27453093,03/06/2023,03/06/2023 17 CEST,1,1601.880633,0.0
2QSLMHAW3CPTIMAA6USFKGE4H7RWJQ6SBU6O2GDPYDE6ATXPIULA,U72VDFCE4RL3PUL3IBU3QLZOSBTAXVUC5UPSURRXR4NYVAVS7LIMNKWUK4,WSGJM5NG37JEFADYYHAQ4TMQ2YPT5C3A7XXVLQ5WOCT3HECDYFPXQOU5GI,1198.758723,99.99,27453454,1678122928,18951735,27453454,03/06/2023,03/06/2023 18 CEST,1,1198.758723,0.0
VKC7KQJL5JS74NZF7KNIVEHGSHJ7KEBTXJJF3GCIAW562UST6IJA,IANMERRCAJLO2TFR7OKDHQMFQ7CJQVPNQOMD3ZW2N4Y6PPFHUICF7YMUFE,N5OCRHBM4WOKRUYO5T5Z6NPWQOK3C2PSKSOLN4JTJ7IVMN6DNBFO3AHF74,870.616159,99.99,27453501,1678123100,19783170,27453501,03/06/2023,03/06/2023 18 CEST,1,870.616159,0.0
KIWRROGYA2EJSLW65AEBEBPTV7KDOXXN5CQCS5BZ4NYBTLN5QTMQ,EDGLRQGGZFYASHXWK75FUJHWXMYSL3ER35MDXP6R5GKP7WI4EXXGTHN5PI,CNKBRSYJNMFOLL7V6QGNLKQVHFIJO5KCF7PKRTD764BA7RIBUMKWD5ROW4,10020.568148,100.0,27453701,1678123838,26111908,27453701,03/06/2023,03/06/2023 18 CEST,1,10020.568148,0.0
YXXAK4ZVDRHF5K2CG3O6WSUMY6HMZ33R6KWXNI32E5VUTEBH6IZA,ZXWAZZQKLSDVYS74LBKVJ6DTRSTY57TGLDHTVS4VM5BJPY22UCT74YSD3A,MOYKHVRFF5DLK2MANEMDQWLTMTR7AMBS3QQLHVI7MA36GOCVXCYJL7JRUY,4092.216219,100.0,27453779,1678124124,24243167,27453779,03/06/2023,03/06/2023 18 CEST,1,4092.216219,0.0
QANBV5TCQAY4AHIS5XIUARIDY4ALVPWSFUZ3SRVR3K3BMMPOWJNA,ZKUL4HTX6SIAX65Q344VPJ2PJFI4V2LV55AVTUL5WUI3GGXIY4MTNLUGPQ,Z6ZO652X2OBV2XPIHFJ5J5LRKEXUQINB5GPQE5B7LNEYXRAI7GSOAI2JBY,221.5637,99.51,27454421,1678126484,27399979,27454421,03/06/2023,03/06/2023 19 CEST,1,221.5637,0.0
DZW4VAUKWC56VKVR7O7MZ4EFNBDDMOH6G4EUCZAGTTYWPR6MTVMA,MLB25MOFBWVFEWQZM3YYJMLPRIKTAWS2VKENBEOFNHKO3YXFM3ZRJVVZFM,LF5S77PDWNZNL2OBWTLTH4G5GBPO32MXLDVYZKML2ZMQQJO2N3SQSIJXIE,3242.759482,100.0,27454616,1678127195,14873539,27454616,03/06/2023,03/06/2023 19 CEST,1,3242.759482,0.0
NLIITVDZ3A6NYY2GN55HLVADNKITHB3YMHBVOKWNL5RYGA6ZM3BA,37WZLCGRRL5R4PEX7NP5H3XJLQGOCFSAHXZHWULTFBJIQG5UYJBTFUJDAI,ICWW35L3JOCTDTRZ2PBONE4IIUUVEC6SABHIU7M2KBMBGJIXYYNCVZFMAE,806.797496,99.99,27454938,1678128367,21884108,27454938,03/06/2023,03/06/2023 19 CEST,1,806.797496,0.0
S6ADV3LGWACMRO4VAQBM7SGZLEJCUTINB237GGBXUF5FLCM6XOJQ,2OZMJRKPHVHSEC3UFYM53TAFUE7UR56OSRXIZSVRW7FGWYWZO6APKYGP34,PVYUTU4W4RC74ZDDFAV4KCA3RYNMZLURNVXINO7Y3XSWE2HUFU4UP7V7WE,165.0,97.92,27455231,1678129433,18319754,27455231,03/06/2023,03/06/2023 20 CEST,1,165.0,0.0
DIM4HEZCKXAIVBN57O5XWF7PIDXRMBP75Y5YYLT5VF76I4SF3HNA,JKI5IHPBNHRSTKF7OBEVBLZ5NYW7SPP3ET6IGPUUKFZ7QAH44LBHJMNN3Y,IAFGYA3UTUBVJMUFSGTLHEG3QC7YULWU2IMA7AWT5SVWOE3PHZSJQX6LZM,1278.00779,99.99,27455407,1678130070,24906260,27455407,03/06/2023,03/06/2023 20 CEST,1,1278.00779,0.0
K4AZBBVM5WADL4QR5GSOBFFJASK7QZAFIAFBA7NNETKLUZA6KB7A,NMPGNOWWSLIHFLWWXYZ6TCPVLRKD2JR2OGGKZA3MFH2ZYVFQ56QAD5T6GU,FVHNKQ27Q3BSSVLTVQ3PUVOWUB6VJ7E57IQEPMCS3MUFACDHGFMMRK5SKY,615.824558,99.98,27455895,1678131849,20329537,27455895,03/06/2023,03/06/2023 20 CEST,1,615.824558,0.0
574CP2NGNPTGSBOLNYJ6BB5BPI2JWC6RQZ3G65AM7C4PO4DP6VKA,FXAZLFSUH6TXLNW54YOV4IXLC7RFTN4AFPU6LHWXLJBP773KNZKKAF4E44,UQGFHS3DBUN5LDGXMNN5B7EJPQ4VBBN6Z4W46T5LZB3JIHWEZTGKEYDIX4,1315.355356,99.99,27456227,1678133058,26334939,27456227,03/06/2023,03/06/2023 21 CEST,1,1315.353356,0.0019999999999527063
ZJGRKBQ45ZJHFTVY3YAYIHOHWWBUCOAYADDXN3HQEK743OPUGGJA,LYHDS5EADZFOK6Y6UM2FTP6WTZQJQKWYIRHIOEB3CXGXOKZR57YFKHN5V4,7S4GDDLJWF2WQHP5ZVJGEFRGUOMAL7MNRXYOMQJAPUGWMBWNFWEFINOVZM,613.662469,95.75,27456281,1678133253,25192244,27456281,03/06/2023,03/06/2023 21 CEST,1,613.662469,0.0
JTFBYIFPEXN5UN5TGSFNFFLYF222ZDSEI3NOOSFKVNSF5CO6PVQA,FBZ6DQJ4DCDDK6IJ2UDGWF6GUF5NOCI45B5WABZOJT4GK6E74WSE3KBXT4,BWPONZHAHXRMVLOLJLO2DKWVAQWONTNEGGLVGL77HMOTTRGXENMXIC253Q,293.196757,99.97,27456353,1678133515,21904858,27456353,03/06/2023,03/06/2023 21 CEST,1,293.196757,0.0
NN7FEZMOQGC2BKZJRXKDNUXXU3BXVTJW6JJ4JJSKN3HFPLJV6MCA,RFPFHBGR7F3LB7RY72SRQQIZ7R3B4SGQZRGGKSPQXIANAWAHP2YG5F57DA,UILCL2CTWS7QNSYMVSCYQ6WPF6R5NVC6R5LOXISRU63XHILVJ72FPU4V2E,481.559428,96.33,27456389,1678133646,21346722,27456389,03/06/2023,03/06/2023 21 CEST,1,481.559428,0.0
3QDPDE2URCKMXWTBQAQMNZYSGEUKX4HQUCVEOCEEPFHDLIX7RGRQ,YOHWFARHSK2WLZ2A3PNDVCYOZWHOFOSLDLS7KDXROHOTKWF7Q6QXVYKFKY,A7EGS7CRBOYX4Z5TUTNP6H7XFQMJ4HLQUNDVFJUH2GKNIOMYDE2DZUXTOY,464.079454,92.84,27456393,1678133661,25265384,27456393,03/06/2023,03/06/2023 21 CEST,1,464.079454,0.0
ZSPHCGJ662TGMHI74ZSBS3JMUVKKXP6AD5JAXE6GGFELJEP2CC2A,6IHNEDZC5NDQQD7RQRYXBCEOJWK52HVEELXFSMQXWZUP5VG736P6TTKJRE,IQYDHWPGEUFKPJPQKURMJDUMOJM2GECH26UFHHVY6I3HG4IBHU3KTHQ6YE,497.918,99.69,27456397,1678133676,26124559,27456397,03/06/2023,03/06/2023 21 CEST,1,497.918,0.0
PAGVRVDZZIOYDWM7IYQ7ZSDCLEGI6ANU7W4ZGBJNRNSIT6U5K2BA,7CSMXMNMFJKLTUFTPWT7O62WWKAR7EJA6A2IKHWMVAF2U2YM73MDM6KD3I,P3EZSBU4LE57PBA7TZI4CBEIG2JP2VHFQYBGDUMHGSTY6DSINIUPGLQMVM,428.805059,92.03,27456399,1678133683,20221180,27456399,03/06/2023,03/06/2023 21 CEST,1,428.805059,0.0
MNSFPKFRQQ6PDKLQRNW3IHF2PYSON2ZSOWPWJ7S63KSCKHSOXBYQ,ROBOTNXHAESAHPJVVTBYLNDW6WZBI4BJDZXW64LWXBTBIVE2C6OYA3CEYY,XJDVZGRZ6FTVLKS5O2IE6FBXK34YLLSVTJWL6MPBKHFL6HWRDO6O372V5Q,442.820935,96.27,27456402,1678133694,26886562,27456402,03/06/2023,03/06/2023 21 CEST,1,442.820935,0.0
7DD6ZAHDOGZABI4MPTIHV3V4VXPNTWDEIGW3FOANVII3TVRIIRBA,X6U2FRXZ3PCFK4DLC623LMGOUXUYMMN24CQ2NP3HRB24FYL3CKUS2KRCOM,2M7UNLMEMU6UEDLDSTCA6ILWKVQVTISZHHB6MFTPKY3MDJ5OXSYSX7SGVY,426.291619,93.64,27456406,1678133708,16672615,27456406,03/06/2023,03/06/2023 21 CEST,1,426.291619,0.0
IJOILTOA7AIIQRQX5CJWTHKY6GMOKTKU3CPULF6QYQVS4O7DCWUA,ROBOTQYBCTCR3IBUIBDGK6XMKHFYO2SK7OS665JS53SUHHXEHMCRPVEECQ,BSRLTQDQ6EGGE3GQPECTUG3IZLVFNUNNI5R7MCBXXHEQKVL5DQ6QEMBBSE,433.196286,96.27,27456410,1678133723,26886552,27456410,03/06/2023,03/06/2023 21 CEST,1,433.196286,0.0
QJK7VC2XJ6GGCFKPZICTEY2E3DUD2KX6FNXLI5J7US5LQK3AE67Q,N3TAHWHF2SI5RGCTET3LKSIFX266KVIOY2XB5NEMW4PLUQSIU7JZGNJQNQ,HMEW7REMUTP6WWJX34FHDSCNQOFT3OFHIP5EB3ZJUVKIMRI6ORQCVNTL7A,392.046021,90.93,27456412,1678133730,21961583,27456412,03/06/2023,03/06/2023 21 CEST,1,392.046021,0.0
Y5WCYNQSWYGTAE4EM3DO4WCW27I7CH7TXFEM2LJTHIOS6OHHMBLA,NFTXNYRTO6RJQGZ43T4OG2DNIJVAJFWWDZF4K5IEGSNIZ5CSI4EPO6QYYU,DXOAC3LGSN476FCTICISBXRK7FUSN5NFMVCVCWQPW62HMS52XUI7UZH4J4,388.257955,91.85,27456415,1678133741,21456908,27456415,03/06/2023,03/06/2023 21 CEST,1,388.257955,0.0
7HQ45DZA4ON3HMHBXY7Y7NICAOWQJFPABJT2QI5SXOIWUJRRIGKA,ZZMUM56NAFHTQENU75QEVTDZ3ZFHAXTVKAWF2PFJS5QNPD5LIFMZPD6DFA,OYG2YDEUZNNYQSI45NTFPOVGXHDFJFCJRRRNORZJCBTAZL4AFMBV6ANZO4,382.070194,90.45,27456417,1678133749,18192307,27456417,03/06/2023,03/06/2023 21 CEST,1,382.070194,0.0
OHH6QMPXM2JJVH7WRXZY2AGV3XLIFERB7VK53ZQZ4P4XEZW7MW3A,2FZV3AG2SG5FCQ7UE2CAHLPBIV3B7WOTB25JCHZDVDEHBNTFWURVOPARWI,RZVFBTTTWT6CGAIBGFG6XUG5U6RL3STZIUT2PVXTJWIL2JCREKC6COWVHM,397.122616,94.64,27456421,1678133763,26070357,27456421,03/06/2023,03/06/2023 21 CEST,1,397.122616,0.0
OHBT62Y7GTZJ6KTWNGMIXJ2QUO6ZZJUFGNJMVVKXFAIBXT6AT5ZA,AWLED5BD7WOABYAWI565ZJSTIYDMJ4MI2FOYZFJK5IDKRLE2PQAL7P3GJ4,5CNFYRMJAC26UVHMLBNKTPSPFNPNTGTGPNSQBPPF6CCOUTHP5LQ5JUPLTE,138.103423,99.93,27456453,1678133880,24801948,27456453,03/06/2023,03/06/2023 21 CEST,1,138.103423,0.0
UVKGYCP2Q2NO6E2B6KNCB3VRV755QWQRZMQKRYTFI7OZYRWXFFVA,T5QPKNY3RKJFUEU6KEZCVFKN2UFIKDBGEJPHJ755DSEXO77DVBAZ2CUGF4,CGK5JWX7LU4SAR7WDIF4YM5AZPHYPSP2WEWK2SKAA2YV5235WLOCEEXJ4Y,109725.307775,99.99,27456585,1678134367,16415281,27456585,03/06/2023,03/06/2023 21 CEST,1,109725.307775,0.0
WXNYJP42OWG3MZRAGNR4T46JLGF4LSMZXXPIVZLD3A7ZQ743DN7Q,EPZ72D4QIJ57WYZMQFCT5AA6A74ZQVMU6QU3HJBLFHUTWKXU4GDS75DLVM,ZNOUNI3SY3P45MILOEU6PWREXUBU6WI44QYXJPCWQAJGE7CYFUKQ4OZPNU,100175.648193,99.97,27456587,1678134375,26410187,27456587,03/06/2023,03/06/2023 21 CEST,1,100175.648193,0.0
XUFC4IUN7NUTJERMOR5EVWAVOE6SPY47FEUXLD5QZ3XHOK75OS6Q,PGUGLHA7RSL5PLDVGLGEKOI4Q7CJBYWVUAVJPQ7IE2EE5B32PM63JNHYYQ,QH5OA44JOQQJG5MQTX6HGF6BWIDJ5EJBAIHFZKV2SOMK2IG4VVVFFRGJPE,84519.39591,99.97,27456589,1678134382,25111158,27456589,03/06/2023,03/06/2023 21 CEST,1,84519.39591,0.0
JYENQNOMKD4B7XCD742A4SSVTHYM3X5MJD54OZJEVRHP72BCIWEQ,7L7GSREPXEO5PZJVKLE3RAZAWM34CSLBDWHVDOS2H5EWFRCU6BZHNZXQ5Y,EGTFEL4XNLC3L665RTFJXDMJOLLAAINKLDBZ65KMNDDCZW73O6MOKZGK3Q,80432.565783,99.95,27456591,1678134389,16811281,27456591,03/06/2023,03/06/2023 21 CEST,1,80432.565783,0.0
TTIHRMX4W23WHPMGPYPWW7XLK6D26P5OW2YC47R4NISOVVQIUNWA,ATYGTRQCT7ZF7XGNGII3OWC3UO2LZFQLI5OLA7QXS6NAYIMEYPSSYRRJLQ,M4PTAXYVN2LEDYZBENO5HMHX3NPHXUXYOKCWXKQ6VVVXWG5KH33HZK2EUE,79796.489173,99.96,27456593,1678134396,18033785,27456593,03/06/2023,03/06/2023 21 CEST,1,79796.489173,0.0
EA4ELQGOGO5AQYOVQOT6STDBP5YD5NMFSESQURMEXEUWIHKCYLYA,UN3EIW3OGNJSIMFOAF5PGV33SGSQMEHQ6EGRFJCS7YELVVIVHORNLXC3NQ,MBT7BVFRG5356SPYEEUMRO7AHD6DPO5H4HYX45IFXGT27TCXLIEHNBQEOU,77194.383712,99.96,27456595,1678134404,16794962,27456595,03/06/2023,03/06/2023 21 CEST,1,77194.383712,0.0
YFELKRNHZ42FA7WZ3DGFRIIZOUVDPFF4HZIZE6OO5PQAPUIZALKQ,JC7WONVM7EL4MRY6AUCU4RB52IZPSRPNRLZHPYTD4NGX2PP2GDFP4XL4CU,YJPRTBZVTPMRVTZFRB2NP5OMESTFWQ7IOEFXTMCTP6X2ZGRUHWSCDIXONU,69289.539941,99.99,27456597,1678134411,18022388,27456597,03/06/2023,03/06/2023 21 CEST,1,69289.539941,0.0
ZLSNP3Q336YPCL76BU2ATTZHLLBT3TBS5RW5HZRCDHFYWO7DZ3ZQ,SA4QW4IW3JEVA6H4N3SEJY5KJ2IB667FYJYWV2S3YF6MZ6LZSMV53ML6QQ,WJUEJNL7RLRM2W7V7DP37M4O3CHVWALHSDHJKUSH6VTQ7T74QHMR5QIIKE,65963.989441,99.94,27456599,1678134419,16255996,27456599,03/06/2023,03/06/2023 21 CEST,1,65963.989441,0.0
IINMTO6K46FGHNFMIR6VILFWOOJ3GSU342C2DXO2RQFFIEGSU3SA,FF5UXZDNY25HPU7U4ENETJ7J4S5H4XTRY2GRULTLEDDCY2D5BJPICVZ6R4,GFROGT54NEFIVHDE3ASCKZV3VJ4Q6MMJW3HMQOEWVB26XYR22QTON24EYE,64318.956663,99.97,27456601,1678134426,20086213,27456601,03/06/2023,03/06/2023 21 CEST,1,64318.956663,0.0
LEAJADZCN6H335JBVVJH7NBBW5GQXGJKB6ZZYVBRHW5HL4IPLG7A,PVDNIM6YMYVC4QNL7PPA3EYAJI7HHVF2JSIWGIYNM5OARJQMOFILXKYSP4,Q4WTIGKN3FFTIFRNU32A5YCJMRXDAUXJ3LBIBN7OMKOMGKNW34DLW7NJ4I,62338.327248,99.97,27456603,1678134434,20397044,27456603,03/06/2023,03/06/2023 21 CEST,1,62338.327248,0.0
GPFYFN4RJXIJLISEXW3KL6QWNH4QCIXAUUD3U2T44DJLVTGUIDZA,MPXNOYUKMGJG7UEB6DVH3AGDP3KTENYKH7KWL2PSZ36DJNBNNLZVGPLSXA,FPXJKZ2PWVFFLHFU4EJW3VPXI5FZ7O44I3QKCCMDOC5LXCZEYQBRCXKSWM,62275.983826,99.97,27456605,1678134441,22289970,27456605,03/06/2023,03/06/2023 21 CEST,1,62275.983826,0.0
4YPJITMRTMDJ6B7LPUMKUXCEBJOKDMAGCK77DNNNP2SRSNWZDOWA,H6Q7XSKUDI67RTLEUQFUAA2BA5FGH55XPNMB52H2GAH6OZ62LATSE3F3BU,6WECZRJNA3UAJG4U7T3PFEJTSMXA5KJPKMBEMMLHQDEFZN4Y3C5UALFZZE,61817.580522,99.96,27456607,1678134448,18480182,27456607,03/06/2023,03/06/2023 21 CEST,1,61817.580522,0.0
73TWLX2VGTLLRQFAEUCYUVRDYLXIDFSFTJCWHN4KIQESX34UFHYA,RTMX67FW6JAHSNV4QEYUBL6FSVZZ4OC4QZVQI26B6JEGB4UTDRD5PH3NTY,VBLCD74OZODBLHHWZG4PQ5HWCKI5JJL3Y7INTHTLJE7YEZEMDNKKX4IBZI,60556.184808,99.98,27456609,1678134455,23842859,27456609,03/06/2023,03/06/2023 21 CEST,1,60556.184808,0.0
3QUHP2333H6N2HXETKTWZATFMMEFXFIKLT5EGEZNVTPS7WMO5DGQ,ASDYNYKHJYAG7RLRJYDGEW6JQUFLAYE6OIWEQHDV6USYYOERJ6F7PM73BE,FDCU4KOGMAWFZOPSNKY5ABR4UORMKRAHISME3TPTXE3GA2MCD6FGYCH64U,58132.074058,99.97,27456611,1678134463,20710453,27456611,03/06/2023,03/06/2023 21 CEST,1,58132.074058,0.0
EHJI5MCPOFPPRFUXF23OJBSDE26XKOQLRRZASJ2R74GOM6JVKB6A,IYOVE65IZWNU5J5PGUEJZBCQK5WW776S5COLIOBAOYCDDOLTF4XIIZX3EE,QFIJUFXCDB3PCCPG3M5OOTBAA2GZBT5QVBSFDTZHA2HOAG7QBNJUJXQLVQ,56294.571073,99.94,27456613,1678134470,16807398,27456613,03/06/2023,03/06/2023 21 CEST,1,56294.571073,0.0
XG4SWHRQP54DFGOW4NB5PQP46VWJGIQR6Z7E445LD6HBWHA56PAA,JAPDVHNZ4SGCCQZK2QVFQFMRILK6FQCNOIMAMNBMTMUOQ7IZONBB6KEHAQ,O327X5QRBSZISUM547NKNVXT2U6AOI6XQJLMQIBSKUR6DULYQU46DSB4WU,51796.114642,99.95,27456615,1678134478,20130229,27456615,03/06/2023,03/06/2023 21 CEST,1,51796.114642,0.0
3GYMH2XFOHBV5E67WSTXK2GHF5N6GUTCQUSWSSTOIOBA42ANGSPA,OVMD4Z5GPDQGN7UGJSQTGKJZKZL543MXDN6MTV6YOYB3LZBNUKGBPCIMMA,U477BGCGCXAW2FFRREMS4GEBN6VW5FU42WV5CJASPJMPYXAROREOEE2R24,51111.097625,99.98,27456617,1678134485,13498942,27456617,03/06/2023,03/06/2023 21 CEST,1,51111.097625,0.0
LGKJXLV6L4YOJ24KPDAHAVZ2EEATDYSNA4O4BBM2EPZZJMUG4FYA,D5UAX3JFUGHONYHW4ARSKLFBHZ6JPQHJRJC5TF7TA34YKPWCI53VUI3LVM,IQK4JUWDBGKKN42LADGLDUFW5QINH6CR7LWETWZFVD5TJ4TNYVP6W54AHA,41271.548026,99.91,27456619,1678134492,18946630,27456619,03/06/2023,03/06/2023 21 CEST,1,41271.548026,0.0
BJ6UUEKPSOZI7T5JHRJCQ35AJ4YNMYC72XTHQNSZLJCRHO4XU5IQ,ZQGE5G6JSCAH4K3FJTH33OQFA77RS3LW3WPTVSSTJJSZXKABN3ZZBSEHE4,MKLGY7FFCBKVK6KYF3DYSTER7KOE4JOLN6BX5QWEQY7RJOPGTFUBLMNQAU,38431.376827,99.97,27456621,1678134500,17236001,27456621,03/06/2023,03/06/2023 21 CEST,1,38431.376827,0.0
RI3NPI5YMX5P4KRW5SRZ7WNMC3YTB44JUUXYLKPGJP7FBLAJXDLA,VCQHDCBAVL7VENYQWHK4YQIU6GFJYSNMT5YRUZHIARGQSMUGNUGWSTEKYA,ERGF6VT2R2LYDDMUMB6KFNZWCOW7QMQKOVDAOV747UYKNVJU3A2YWQNVBM,36359.926164,99.97,27456623,1678134507,19936094,27456623,03/06/2023,03/06/2023 21 CEST,1,36359.926164,0.0
GJZJUHG75WAQOSFEQVMDBO6C7ERWKLN6IW46MTIGZEJ7PIC55I4Q,QK62ZD3JKNE3WQ7FZNGZP3FKL6FFRDUPXNKHQKBTG6PUEFPWZIMKCITWEU,P6IBMOAYUCFDTFKDWUJSRAV3YVJMSFMAIEKPUPV77F6Q7JUMCKNRQILCCA,34078.359426,100.0,27456625,1678134514,20360027,27456625,03/06/2023,03/06/2023 21 CEST,1,34078.359426,0.0
R75HGR4ZIIGVOP6S3NBUGH73WKR6CFYLZ2K2SQGNI5KJILXBYQVA,6SIUIXIMRGAMUWDQT5WXMFB3WR5G7IR66GL4R6WXH3IBTF22SLTW2GWZVE,VWOZ4MLHS2ENJUBOHFELLBQXETBI63KEMRWLY4PHCUQHZSD654EQBG52OM,31892.340203,99.88,27456627,1678134522,14672123,27456627,03/06/2023,03/06/2023 21 CEST,1,31892.340203,0.0
UCS7OYAWPQK4XGC7JHGAA625E765VH7DLHTUMC356BVFDF3HSF2A,2S4OMI3QVYOT2QYBGEDWTTQ3MYH66MPIJ254P4GJLGFNTZZW7TEGG6QJKE,RQSHY7PRCNTTRXU4343RVGSHV5QK36YPBPIGS22SDZEBGZ4SNOG6OX4S6Q,31878.145075,99.9,27456629,1678134529,21010398,27456629,03/06/2023,03/06/2023 21 CEST,1,31878.145075,0.0
